element,ion,wavelength_nm,strength_percentile
Eu,1,512.4770,68
C,2,512.5200,19
Gd,2,512.5560,22
Xe,2,512.5700,40
Kr,2,512.5730,94
B,2,512.5790,31
S,2,512.6130,43
Ba,3,512.6549,21
C,2,512.6930,6
Xe,1,512.7240,21
Pm,1,512.7340,57
Ti,3,512.7350,26
Er,2,512.7410,27
Nb,1,512.7660,23
Ho,1,512.7810,65
Tm,1,512.7819,5
Hg,2,512.8442,93
V,1,512.8509,11
Hf,2,512.8530,4
Eu,1,512.9100,85
Ti,2,512.9156,43
Co,2,512.9202,22
Ho,2,512.9270,12
Ni,1,512.9380,24
Pr,2,512.9520,76
Ce,1,512.9570,91
Pm,1,512.9750,18
In,2,512.9860,78
Eu,1,513.0080,68
W,1,513.0114,5
Gd,2,513.0280,13
Sr,3,513.0335,89
Nd,2,513.0596,80
Rh,1,513.0760,8
In,2,513.0780,50
Er,1,513.1530,56
Tb,1,513.1690,39
Ge,2,513.1752,78
Nd,2,513.2330,18
Rb,1,513.2471,10
C,2,513.2940,89
C,2,513.3280,89
Nb,1,513.3340,6
Zr,1,513.3400,37
Pr,1,513.3440,98
Eu,1,513.3520,90
Fe,1,513.3688,19
Na,2,513.3750,27
Er,2,513.3830,27
Ru,1,513.3890,3
Lu,1,513.4050,58
Tm,1,513.4282,5
Ba,3,513.4542,66
Ge,3,513.4750,57
Nb,1,513.4750,58
Dy,1,513.5020,28
Lu,1,513.5090,92
Pr,2,513.5140,66
Y,1,513.5199,85
La,1,513.5440,21
Bk,2,513.5530,95
Gd,1,513.5590,27
Yb,2,513.5980,12
Gd,1,513.6040,30
Ba,3,513.6290,1
Ta,1,513.6467,6
Ru,1,513.6550,70
Ni,1,513.7080,28
Ag,2,513.7247,35
C,2,513.7260,59
Ca,3,513.7730,34
198Hg,1,513.7930,26
Hg,1,513.7940,79
V,1,513.8406,11
La,1,513.9160,26
C,2,513.9170,78
Fe,1,513.9251,21
Tc,1,513.9262,57
Fe,1,513.9462,46
Dy,2,513.9600,34
Cr,1,513.9646,13
Pr,1,513.9810,84
Ba,3,514.0105,8
Tm,2,514.0280,16
Nb,1,514.0580,20
Gd,2,514.0840,16
Tb,2,514.1080,18
Gd,1,514.1500,30
Ta,1,514.1620,38
As,1,514.1630,37
Ar,2,514.1783,81
S,2,514.2341,75
Ho,2,514.2590,28
Gd,1,514.2680,30
Cu,1,514.2700,25
Kr,1,514.2700,37
Ru,1,514.2760,33
Ni,1,514.2770,29
Ne,3,514.2800,43
Ag,2,514.2816,44
Tm,1,514.2886,70
Kr,2,514.3050,66
Ho,2,514.3220,24
Th,2,514.3267,26
C,2,514.3490,90
Sc,3,514.3609,67
Ta,1,514.3687,38
Th,1,514.3916,7
Cu,1,514.4120,79
Bi,2,514.4492,94
Ne,1,514.4938,79
Ne,1,514.5011,79
Kr,1,514.5040,11
Pm,1,514.5130,58
C,2,514.5160,96
Ar,2,514.5308,74
Mo,1,514.5378,31
La,1,514.5420,97
Ti,1,514.5460,78
I,1,514.5517,87
La,3,514.5730,24
Lu,3,514.5860,47
Hg,2,514.6289,84
Pm,1,514.6300,74
Ni,1,514.6480,35
Co,1,514.6740,13
Yb,2,514.7020,4
Ru,1,514.7240,47
Ti,3,514.7310,91
Mo,1,514.7383,14
Au,1,514.7440,74
Ti,1,514.7477,82
Nb,1,514.7540,21
Tb,1,514.7580,39
Ta,1,514.7620,29
Tm,1,514.7705,25
Th,2,514.8211,27
Te,1,514.8770,4
Na,1,514.8838,7
Tm,2,514.9400,27
Ho,2,514.9590,34
I,2,514.9730,19
Os,1,514.9740,10
Ce,1,514.9990,79
Rb,1,515.0134,42
Tc,1,515.0630,58
Nb,1,515.0640,7
Mn,1,515.0890,24
Al,3,515.1010,49
Ru,1,515.1070,17
C,2,515.1090,93
Ar,1,515.1391,0
Th,1,515.1612,56
Kr,3,515.1680,0
Ne,1,515.1961,33
Kr,3,515.2010,18
Rb,2,515.2081,98
Tl,2,515.2140,93
Ti,1,515.2184,78
Pr,2,515.2300,32
Nb,1,515.2630,21
Ru,1,515.3200,0
Cu,1,515.3235,96
Na,1,515.3402,20
C,1,515.3571,39
Pm,2,515.3860,82
Ti,2,515.4068,25
Th,1,515.4243,68
Ne,1,515.4427,16
Cd,1,515.4660,9
P,1,515.4844,25
Sm,2,515.5030,37
Ti,3,515.5040,64
Ru,1,515.5140,70
C,1,515.5292,9
C,1,515.5300,18
Zr,1,515.5450,73
Rh,1,515.5540,42
Ni,1,515.5760,35
Gd,1,515.5840,90
Sr,1,515.6040,63
Ac,2,515.6531,48
Ta,1,515.6562,78
Ne,1,515.6667,16
La,2,515.6740,65
Gd,2,515.6760,7
La,2,515.7430,65
B,3,515.7850,59
Zr,1,515.8000,67
Cu,2,515.8091,18
Sr,3,515.8261,92
Cu,1,515.8360,51
La,3,515.8410,28
Gd,1,515.8480,31
Th,1,515.8604,90
Zr,1,515.8670,17
La,1,515.8690,94
Rh,1,515.8690,27
Ne,1,515.8902,16
Ce,1,515.9690,98
Sr,3,515.9863,11
Ba,1,515.9876,71
C,1,515.9920,9
O,2,515.9942,73
Ru,1,516.0000,0
Eu,1,516.0070,93
S,3,516.0084,81
Sn,1,516.0154,1
U,2,516.0320,8
Nb,1,516.0330,64
Tm,1,516.0543,58
Th,2,516.0693,14
Zr,1,516.0990,34
Dy,2,516.1030,9
I,2,516.1200,88
Ce,1,516.1480,99
Re,1,516.1650,2
Es,1,516.1740,86
Pr,2,516.1740,53
Tc,1,516.1810,88
Ta,1,516.1814,29
Ar,1,516.2285,36
P,1,516.2290,41
Sr,3,516.2295,6
Hg,2,516.2357,87
Na,1,516.2500,85
Ti,3,516.2550,72
Xe,1,516.2711,30
Co,2,516.3151,2
Th,1,516.3458,17
La,2,516.3620,52
Gd,1,516.3700,31
Pd,1,516.3840,52
Al,3,516.3890,50
Dy,2,516.4120,9
U,1,516.4140,27
Tb,1,516.4270,11
Br,2,516.4380,77
Nb,1,516.4380,64
Gd,2,516.4540,7
Rb,2,516.4576,70
Er,2,516.4770,32
Ac,2,516.4830,11
Rb,1,516.5023,1
Nd,2,516.5140,18
Rb,1,516.5142,12
Dy,1,516.5340,42
Sr,1,516.5486,94
Ar,2,516.5773,31
B,3,516.5960,69
Zr,1,516.5960,37
Cr,1,516.6217,26
Sb,2,516.6320,31
Ba,3,516.6698,21
Eu,1,516.6700,90
Kr,2,516.6800,72
Mg,1,516.7322,97
Fe,1,516.7488,93
Cu,2,516.7692,12
Mo,1,516.7746,9
La,1,516.7790,73
Ho,1,516.7880,55
Kr,1,516.8060,38
Ni,1,516.8660,19
Fe,1,516.8898,22
Cu,3,516.8970,40
Cs,3,516.9407,63
Rb,1,516.9651,3
Dy,2,516.9690,27
Pm,2,516.9710,77
Tb,1,517.0130,18
Al,3,517.0600,8
Bk,1,517.0610,67
Tb,1,517.0610,11
Ru,1,517.1030,86
Mo,1,517.1064,38
Pm,2,517.1580,88
Fe,1,517.1596,76
Kr,1,517.2360,11
Mg,1,517.2684,98
Sm,1,517.2740,64
Er,1,517.2780,61
La,2,517.2910,13
Mo,1,517.2940,52
Ba,3,517.3228,2
F,2,517.3250,27
Ti,1,517.3740,99
La,2,517.3840,41
Pr,2,517.3900,86
Cf,1,517.3960,52
Mo,1,517.4180,34
Sn,1,517.4535,12
Ce,1,517.4550,93
Tc,1,517.4812,89
In,2,517.5410,43
Sm,1,517.5420,86
Ti,3,517.5480,47
Br,3,517.5870,6
O,2,517.5896,49
Rh,1,517.5970,43
I,2,517.6190,29
Ar,2,517.6229,7
Gd,2,517.6280,29
Tb,1,517.6510,40
Sb,2,517.6550,50
Ni,1,517.6560,15
Th,1,517.6961,48
La,1,517.7310,99
Kr,2,517.7700,4
Ir,1,517.7950,10
Ge,2,517.8460,28
Ne,2,517.8508,16
Ge,2,517.8647,87
Xe,2,517.8820,51
Re,1,517.8890,8
Cf,1,517.9080,56
La,1,517.9120,27
Tb,1,517.9970,40
Br,2,518.0010,30
Nb,1,518.0310,61
Nd,2,518.1165,11
Re,1,518.1740,0
Hf,1,518.1870,9
Si,2,518.1900,61
Tl,2,518.1950,17
Zn,1,518.1982,54
Ho,1,518.2110,64
Cs,2,518.2320,26
Br,2,518.2350,95
Nd,2,518.2603,9
Tm,1,518.2680,38
Tl,2,518.3100,19
Cu,2,518.3366,32
La,2,518.3420,90
Mg,1,518.3604,99
Zr,1,518.3700,42
La,1,518.3920,78
Ge,2,518.4103,17
Yb,2,518.4150,12
Rh,1,518.4190,23
In,2,518.4455,36
Xe,2,518.4480,51
U,2,518.4570,5
Tb,1,518.4590,41
Tm,1,518.5249,60
Si,2,518.5250,62
Dy,1,518.5300,54
Th,3,518.5365,52
Ti,2,518.5902,38
Tb,1,518.6130,55
Ti,1,518.6328,10
Kr,2,518.6980,66
Nb,1,518.6980,30
Zr,1,518.7030,14
Gd,2,518.7240,7
Ce,2,518.7460,46
Ar,1,518.7746,45
Hf,2,518.7750,8
Ho,1,518.7850,42
Gd,1,518.7880,22
Xe,2,518.8040,79
La,2,518.8220,73
Dy,2,518.8450,10
Kr,3,518.8480,59
Tb,1,518.8480,41
Ne,1,518.8612,56
Ti,2,518.8687,73
Ca,1,518.8850,81
Er,2,518.8900,31
Nb,1,518.9200,51
Ho,2,519.0110,16
O,2,519.0496,65
Th,2,519.0872,10
Gd,2,519.1080,8
Pr,2,519.1320,53
Xe,2,519.1370,85
P,2,519.1410,34
Nd,2,519.1448,70
Fe,1,519.1455,35
Th,3,519.1532,61
Pb,3,519.1560,47
Zr,2,519.1600,10
Na,2,519.1650,27
Ce,2,519.1660,7
Xe,2,519.2100,61
Fe,1,519.2344,49
Nd,2,519.2621,79
Dy,2,519.2860,46
Si,2,519.2860,80
Ti,1,519.2969,99
V,1,519.2984,11
Nb,1,519.3080,49
Ne,1,519.3125,56
Rh,1,519.3140,56
Ac,3,519.3211,6
Ne,1,519.3224,56
Ti,3,519.3420,73
Eu,1,519.3740,52
Br,2,519.3900,31
Ti,1,519.4034,27
Pm,2,519.4050,77
Pr,1,519.4430,88
Ge,1,519.4586,1
V,1,519.4874,14
Fe,1,519.4941,61
Ru,1,519.5020,35
Pr,2,519.5110,44
Ge,2,519.5219,29
Ho,1,519.5230,16
Na,2,519.5230,28
Rb,1,519.5278,44
Pr,2,519.5310,53
Th,1,519.5814,49
Nb,1,519.5840,44
Sr,3,519.5973,67
Yb,1,519.6080,45
Hg,2,519.6190,86
Y,2,519.6421,47
Ba,3,519.6430,40
Cr,1,519.6446,61
Mn,1,519.6590,25
Lu,1,519.6610,65
Si,3,519.7260,12
Sr,3,519.7515,23
Bk,1,519.7550,68
Dy,2,519.7660,23
Gd,1,519.7770,76
Ag,2,519.8171,3
Ne,2,519.8481,40
Th,1,519.8800,10
S,2,519.8844,21
Tb,1,519.8860,41
Tm,1,519.9107,38
Th,1,519.9164,72
Rb,2,519.9390,31
Eu,1,519.9850,89
Ru,1,519.9870,5
Nd,2,520.0120,49
Mo,1,520.0153,14
Kr,2,520.0220,67
Y,2,520.0409,72
Sm,1,520.0590,65
Cs,2,520.0815,37
Cu,1,520.0870,78
Eu,1,520.0960,74
S,2,520.1024,87
Ti,1,520.1081,24
Zr,1,520.1150,42
Ca,3,520.1353,29
S,2,520.1387,54
Xe,2,520.1420,31
Pb,1,520.1437,84
Bi,2,520.1500,60
Xe,2,520.1880,14
Ne,2,520.2240,16
Si,2,520.2410,92
Os,1,520.2630,36
Tb,1,520.2770,26
Nb,1,520.3220,17
Ne,1,520.3896,57
I,1,520.4120,76
La,2,520.4150,63
U,2,520.4310,3
Es,1,520.4400,95
Cr,1,520.4498,99
Tm,2,520.4510,7
Tb,1,520.4550,30
Hg,2,520.4768,94
Y,1,520.5010,4
Nb,1,520.5130,1
Ge,2,520.5649,46
Y,2,520.5722,77
Ge,2,520.5837,34
Hg,2,520.5868,33
Ra,1,520.5930,78
Ti,3,520.5960,73
Cr,1,520.6023,99
Ti,1,520.6085,31
Eu,1,520.6440,76
Lu,1,520.6470,51
Er,1,520.6520,64
Pr,2,520.6550,73
Rb,2,520.6644,9
O,2,520.6650,93
Rh,1,520.6950,3
Tm,1,520.7125,11
Cu,2,520.7136,44
Ti,1,520.7849,4
Pr,2,520.7900,44
Tb,1,520.7970,31
Pm,2,520.8090,88
Cu,3,520.8340,58
Kr,2,520.8340,96
Cr,1,520.8409,100
Pr,3,520.8510,65
Na,2,520.8550,16
Ne,1,520.8865,30
Ag,1,520.9078,95
Zr,1,520.9300,38
Bi,2,520.9325,99
Cs,2,520.9581,92
Ti,1,521.0384,100
Gd,2,521.0490,8
Sc,1,521.0547,67
Ne,1,521.0567,17
Hg,3,521.0820,77
Th,1,521.1230,62
Rh,1,521.1520,4
Yb,1,521.1600,58
La,1,521.1860,99
Ce,1,521.1920,93
Ti,1,521.2280,1
Nd,2,521.2365,47
Bk,1,521.2530,69
S,2,521.2623,93
Tm,1,521.2650,25
Co,1,521.2710,17
Rh,1,521.2730,8
Ta,1,521.2741,44
Cu,1,521.2780,62
Er,2,521.2910,18
Sr,1,521.2978,34
Sr,3,521.3193,59
Nd,1,521.3230,82
Ne,2,521.3339,16
Tm,1,521.3376,73
Tb,1,521.4280,31
Rh,1,521.4790,4
Th,3,521.4967,49
Eu,1,521.5100,98
Er,2,521.5130,13
Ac,2,521.5399,32
Kr,1,521.5818,51
Pm,2,521.5960,35
Am,2,521.5990,50
I,2,521.6270,49
Fe,1,521.6274,55
Hg,2,521.6382,88
Th,2,521.6597,23
Ar,2,521.6814,11
Sr,3,521.7078,79
Kr,2,521.7460,51
Gd,1,521.7480,32
Cl,2,521.7940,95
Kr,2,521.7940,29
Tm,1,521.8035,27
Be,2,521.8115,54
Cu,1,521.8202,99
Er,2,521.8260,13
Be,2,521.8326,76
Ti,3,521.8430,64
Ta,1,521.8452,44
Ta,1,521.8660,12
Hg,1,521.8900,22
Pr,2,521.9050,73
Ga,2,521.9070,7
Nb,1,521.9100,23
Th,1,521.9110,39
Cu,3,521.9210,84
Cf,1,521.9240,60
S,3,521.9322,82
Gd,1,521.9400,67
Sc,1,521.9634,49
Ga,2,521.9658,88
Ti,1,521.9699,71
Cu,1,522.0070,78
Pr,2,522.0110,84
Gd,2,522.0300,15
Mg,3,522.0329,56
Ar,1,522.1271,17
Cl,2,522.1360,87
Ho,1,522.1540,38
Cr,1,522.1752,20
Tb,1,522.1990,32
Sr,1,522.2198,87
Ne,1,522.2352,17
Kr,1,522.2380,28
Rh,1,522.2660,8
Ti,1,522.2673,33
Ga,2,522.2682,8
Hg,2,522.2922,59
Ce,1,522.3460,97
Eu,1,522.3490,94
Ru,1,522.3550,4
Kr,1,522.3570,43
Xe,3,522.3620,46
Ti,1,522.3621,40
Ga,2,522.4160,9
Ti,1,522.4305,70
Ga,2,522.4440,10
Ti,1,522.4544,51
Kr,2,522.4560,10
Mg,3,522.4593,67
W,1,522.4657,94
Cr,1,522.4925,28
Zr,1,522.4930,38
Ti,1,522.4933,62
Sn,3,522.5000,38
Nd,2,522.5045,11
Sr,1,522.5108,88
Pm,2,522.5120,67
Nb,1,522.5160,17
Tc,1,522.5554,25
Ga,2,522.5990,12
La,2,522.6210,20
Ti,3,522.6280,88
Tm,1,522.6304,5
Ti,2,522.6539,65
Xe,2,522.6570,32
Ga,2,522.6740,13
B,3,522.6860,10
Fe,1,522.6862,33
Xe,2,522.6900,14
Sr,3,522.6917,52
Cs,2,522.7036,100
Fe,1,522.7189,87
Se,2,522.7500,92
Pt,1,522.7646,65
Pr,1,522.7970,86
Tb,1,522.8120,60
Kr,1,522.8177,68
Tm,1,522.8230,40
Tm,2,522.8230,16
Ac,1,522.8310,81
Nd,2,522.8427,11
Y,1,522.8529,12
I,2,522.8970,39
Ac,2,522.9099,15
Sr,1,522.9270,88
Er,2,522.9340,17
Ge,3,522.9370,29
Kr,2,522.9530,67
Ce,1,522.9750,92
Co,1,523.0220,18
Au,1,523.0260,89
F,1,523.0410,12
Ac,2,523.0429,41
Rh,1,523.0620,8
Rb,2,523.1150,9
Th,1,523.1160,88
As,2,523.1380,47
Ca,3,523.1815,39
Kr,1,523.2060,11
Y,1,523.2110,5
Nb,1,523.2810,44
Fe,1,523.2940,72
Th,2,523.3225,35
W,1,523.3523,84
Gd,1,523.3930,43
Rb,1,523.3968,13
Ne,1,523.4027,17
V,1,523.4072,11
Nd,2,523.4195,65
Mo,1,523.4258,9
La,1,523.4270,99
Re,1,523.4310,5
I,1,523.4564,75
Pd,1,523.4861,36
Tb,1,523.5110,32
Co,1,523.5210,14
Ta,1,523.5393,6
Pm,2,523.6260,89
Pm,2,523.6660,78
Rh,1,523.7160,32
Cr,2,523.7322,16
Nb,1,523.7430,24
Cu,1,523.7650,26
Y,3,523.8100,88
Mo,1,523.8205,76
Br,2,523.8230,96
Ti,1,523.8522,4
Sr,1,523.8549,94
Ti,1,523.8574,42
Ir,1,523.8920,11
Xe,3,523.8920,79
Sb,2,523.8940,79
Eu,1,523.9240,77
La,1,523.9550,39
W,1,523.9786,32
Nd,2,523.9790,37
Sc,2,523.9811,99
Yb,2,524.0510,36
Y,1,524.0800,85
La,1,524.0830,30
V,1,524.0864,12
Mo,1,524.0874,52
Hg,2,524.2173,23
Mo,1,524.2802,15
W,1,524.2980,94
Zr,1,524.3470,15
Yb,1,524.4110,61
Ho,1,524.4470,32
Ti,3,524.5060,73
Br,1,524.5119,3
Xe,1,524.5270,8
Cu,2,524.5340,32
Mo,1,524.5505,9
I,2,524.5710,89
Ce,1,524.5920,98
Pm,2,524.6330,83
Ti,1,524.6546,24
Gd,1,524.6870,27
Dy,2,524.6940,13
Hf,2,524.7100,13
Sr,3,524.7175,11
Ti,1,524.7288,22
Ca,3,524.7373,45
Ti,3,524.7490,85
Cr,1,524.7565,90
Th,2,524.7655,71
Sb,3,524.7710,9
U,2,524.7750,3
Xe,2,524.7750,32
Co,1,524.7930,18
Tb,1,524.8710,51
In,3,524.8770,95
Re,1,524.8860,9
Xe,1,524.8980,8
Cs,2,524.9385,98
C,2,524.9510,1
Nd,2,524.9585,82
Cu,1,525.0520,78
Nd,2,525.0816,26
Ti,1,525.0924,5
Gd,1,525.1180,73
Nb,1,525.1620,44
Ru,1,525.1670,1
Ho,1,525.1820,48
Sm,1,525.1920,66
Ti,1,525.2099,66
Gd,2,525.2140,22
Mn,3,525.2230,9
Nb,1,525.3030,21
Th,2,525.3443,20
La,1,525.3460,96
P,2,525.3520,71
C,2,525.3570,13
Ba,1,525.3804,21
Nb,1,525.3930,24
In,1,525.4320,64
W,1,525.4542,69
Gd,1,525.4750,33
Cr,1,525.5117,35
Mn,1,525.5320,47
W,1,525.5396,74
Tm,1,525.5503,5
Nd,2,525.5510,56
Gd,1,525.5800,44
Ti,1,525.5806,27
Be,2,525.5860,64
Er,2,525.5930,29
Ac,2,525.6031,12
C,2,525.6090,1
Na,1,525.6400,49
Er,2,525.6470,6
Cs,2,525.6594,39
Ge,3,525.6610,19
Kr,2,525.6750,52
Ti,3,525.6770,65
Yb,3,525.6850,34
Sr,1,525.6899,98
Er,2,525.7020,10
U,2,525.7040,3
C,2,525.7240,51
Ti,3,525.7330,65
Yb,2,525.7490,38
Sr,3,525.7707,92
Kr,3,525.7830,1
La,1,525.7850,40
Ac,1,525.8240,98
Th,1,525.8360,73
Sc,1,525.8364,67
Y,1,525.8474,2
Mo,1,525.9032,31
C,2,525.9060,47
W,1,525.9342,97
La,2,525.9390,49
C,2,525.9710,47
Pr,2,525.9730,87
Dy,1,525.9880,50
Xe,2,525.9890,41
Ti,1,525.9973,5
Rb,1,526.0034,46
Al,3,526.0110,29
Tc,1,526.0217,25
Rb,1,526.0228,4
Fe,2,526.0254,6
Hf,2,526.0440,7
Xe,2,526.0440,79
Dy,1,526.0560,64
Tm,2,526.0930,8
Tc,1,526.1444,25
Ac,1,526.1450,68
Be,1,526.1525,46
Pr,3,526.1680,65
Ca,1,526.1710,64
Au,1,526.1760,75
Xe,2,526.1950,80
Tb,2,526.2110,22
Sr,3,526.2212,89
Ca,1,526.2240,71
Pm,2,526.2420,36
In,1,526.2740,49
Sr,3,526.2958,40
B,2,526.3120,15
Cs,2,526.3180,52
W,1,526.3215,69
Ti,1,526.3483,13
Y,3,526.3580,50
Pr,2,526.3880,48
Ra,1,526.3960,54
Cr,1,526.4153,96
Mg,2,526.4215,63
Ca,1,526.4240,65
Mg,2,526.4368,49
Pr,3,526.4440,93
Ac,1,526.4480,72
Er,2,526.4770,14
Hf,2,526.4950,8
Ca,1,526.5560,75
I,1,526.5687,16
Cr,1,526.5714,88
Ge,1,526.5892,18
Ti,1,526.5963,54
Co,1,526.6302,11
Eu,1,526.6400,89
Co,1,526.6490,15
Fe,1,526.6555,51
Th,1,526.6710,43
Dy,1,526.7110,48
Tm,2,526.7340,17
Cs,3,526.7388,48
Cd,2,526.8007,75
Xe,2,526.8310,51
Co,1,526.8498,11
W,1,526.8550,54
Cu,3,526.8590,42
Gd,1,526.8780,27
C,1,526.8956,66
Rh,1,526.9270,0
W,1,526.9326,69
I,2,526.9360,40
Nd,2,526.9480,9
Fe,1,526.9537,96
Pu,1,526.9860,58
Nb,1,526.9920,12
Cu,2,526.9989,38
Ca,1,527.0270,82
Be,2,527.0284,92
Fe,1,527.0356,83
Bi,2,527.0512,82
Rb,2,527.0513,63
Pm,2,527.0640,89
Be,2,527.0811,94
Re,1,527.0950,90
La,1,527.1190,96
Sm,1,527.1400,77
Nb,1,527.1530,67
Ac,1,527.1560,90
Cd,2,527.1600,76
Bk,1,527.1950,70
Eu,1,527.1960,95
Ca,3,527.1981,51
Dy,2,527.2250,14
Sr,3,527.2430,79
Eu,1,527.2480,74
Br,2,527.2680,32
Er,1,527.2910,52
Gd,1,527.2910,23
Ac,2,527.3131,4
Nd,2,527.3431,78
Ne,1,527.4039,3
Cs,2,527.4054,95
Ce,2,527.4230,42
Kr,1,527.4610,38
Tm,1,527.4714,28
Tb,1,527.5030,11
Cr,1,527.5174,35
Cr,1,527.5275,48
Dy,2,527.5290,14
Ho,1,527.5480,42
Tc,1,527.5512,81
W,1,527.5529,84
Re,1,527.5560,92
Cr,1,527.5746,63
Cr,1,527.6067,66
Nb,1,527.6200,38
Al,2,527.6420,16
La,1,527.6420,58
Kr,2,527.6500,78
Cu,2,527.6524,26
Al,2,527.6810,16
Nd,2,527.6879,14
Yb,1,527.7040,72
Zr,1,527.7410,51
Th,2,527.7500,57
Hg,2,527.7591,86
Al,2,527.7680,17
Er,1,527.7710,38
Ra,1,527.7910,16
S,1,527.8100,21
Ti,3,527.8120,96
Sr,3,527.8223,11
Re,1,527.8240,15
Al,2,527.8620,29
S,1,527.8700,26
Ti,3,527.8700,80
S,1,527.8990,45
F,1,527.9010,6
La,2,527.9130,14
Er,2,527.9340,10
Yb,2,527.9530,36
Dy,2,527.9700,14
Kr,1,527.9834,54
Zr,1,528.0050,34
Ne,1,528.0085,17
Hg,2,528.0146,60
Al,2,528.0214,32
C,1,528.0238,53
U,1,528.0380,29
Co,2,528.0626,19
Co,1,528.0650,15
Mo,1,528.0855,47
Tb,1,528.1050,51
N,1,528.1200,14
Ar,2,528.1630,0
Dy,1,528.2070,46
Ti,3,528.2140,73
Ti,1,528.2374,43
Gd,1,528.2480,23
Eu,1,528.2820,83
Sm,1,528.2910,66
Gd,1,528.3080,67
Ra,1,528.3280,80
Ti,1,528.3437,50
Cu,1,528.3530,2
Fe,1,528.3621,37
Al,2,528.3735,73
Ru,1,528.4080,26
Ti,1,528.4374,13
Pr,3,528.4700,95
Dy,2,528.4990,5
Tc,1,528.5067,67
Nb,1,528.5260,12
Ca,2,528.5270,51
Sc,1,528.5771,50
Al,2,528.5842,51
Ba,3,528.6081,2
Pt,1,528.6097,2
Xe,1,528.6110,9
Mg,3,528.6389,46
Kr,3,528.7020,19
Eu,1,528.7250,47
C,1,528.8315,2
Sr,3,528.8319,90
Eu,1,528.9250,52
Y,2,528.9815,32
198Hg,1,529.0729,28
Hg,1,529.0740,79
La,2,529.0840,57
Tm,1,529.1143,60
Sn,3,529.1200,75
C,1,529.1224,11
Eu,1,529.1260,77
Na,2,529.1650,5
Nd,1,529.1670,76
Pr,2,529.2020,72
Rh,1,529.2140,0
Xe,2,529.2220,98
Cu,1,529.2517,93
Pr,2,529.2620,72
N,1,529.2680,2
Nd,2,529.3168,80
Hg,2,529.3248,50
P,1,529.3539,26
Ti,3,529.3600,56
Eu,1,529.3680,53
Pm,2,529.3920,55
Ti,3,529.3950,74
Hg,2,529.4177,55
Tm,1,529.4324,60
Eu,1,529.4640,77
Zr,1,529.4820,31
Hf,1,529.4870,2
Ta,1,529.5009,32
Si,2,529.5190,38
Sc,2,529.5313,60
Pd,1,529.5627,49
Ti,1,529.5775,55
P,2,529.6130,80
Nb,1,529.6340,1
Ce,1,529.6560,87
Cr,1,529.6690,94
Zr,1,529.6790,51
C,1,529.6930,2
Ti,1,529.7233,40
Cr,1,529.7376,78
Ca,3,529.7529,20
Dy,2,529.7820,10
Cr,1,529.8014,72
Hf,2,529.8060,10
Sr,3,529.8062,6
Pr,2,529.8090,59
Ne,1,529.8189,57
Cr,1,529.8271,98
Ti,1,529.8418,34
Ti,3,529.8430,88
Cr,1,529.8490,39
Mn,2,529.9370,13
I,2,529.9780,33
Kr,1,529.9790,11
Pr,3,529.9990,95
C,1,530.0118,18
Tm,1,530.0205,56
C,1,530.0550,55
Kr,1,530.0740,29
Cr,1,530.0745,80
C,1,530.0845,12
Yb,2,530.0940,6
I,1,530.0991,17
Pt,1,530.1013,77
Co,1,530.1060,12
Ti,3,530.1200,95
Ho,1,530.1250,55
Ca,3,530.1321,40
Dy,1,530.1580,67
Gd,1,530.1670,67
Sc,1,530.1951,50
Zr,1,530.1970,31
La,2,530.1980,79
Nd,2,530.2279,15
Er,2,530.2300,17
C,1,530.2352,12
Mn,2,530.2440,47
La,2,530.2620,57
Tm,1,530.2694,57
Gd,1,530.2760,57
C,1,530.3130,4
La,2,530.3550,65
Eu,1,530.3850,69
La,1,530.4020,53
Br,2,530.4100,56
Lu,1,530.4400,30
Tb,1,530.4720,47
Ne,1,530.4758,31
Ru,1,530.4860,5
Mg,3,530.5206,47
Se,2,530.5400,78
Re,1,530.5560,4
Ba,1,530.5701,29
Tm,2,530.5870,30
C,1,530.6315,3
Nd,2,530.6472,8
Cs,2,530.6595,83
Gd,1,530.6700,23
C,1,530.6837,42
Ti,3,530.6880,94
Tm,1,530.7116,96
Ca,2,530.7220,57
Gd,1,530.7300,67
Th,2,530.7465,26
La,1,530.7530,27
Tb,1,530.8190,18
Zn,1,530.8640,70
Kr,2,530.8680,87
Pm,2,530.8860,17
Dy,2,530.9020,10
Ru,1,530.9270,50
Xe,2,530.9270,80
Tb,1,530.9460,19
In,2,530.9493,74
K,2,531.0240,56
Zn,1,531.0240,58
Al,2,531.0760,17
Zn,1,531.1020,40
Zr,1,531.1400,48
Nd,2,531.1461,28
Hf,2,531.1600,13
Th,1,531.2002,65
Tm,1,531.2267,45
Al,2,531.2320,38
Ag,2,531.2457,39
Th,1,531.2529,20
Pd,1,531.2586,14
Xe,2,531.3870,96
N,3,531.4350,33
Rh,1,531.4790,1
Tc,1,531.4964,48
Cs,2,531.5258,46
Nb,1,531.5550,12
Hg,2,531.6067,31
P,2,531.6070,55
Al,2,531.6075,43
198Hg,1,531.6769,8
Hg,1,531.6776,58
Ag,2,531.7212,6
Re,1,531.7280,1
Kr,2,531.7410,52
C,1,531.7465,57
Sr,3,531.7591,23
Cu,3,531.7780,60
Sc,2,531.8374,88
Pm,2,531.8580,36
Nb,1,531.8600,64
Tb,1,531.9230,59
Ho,1,531.9240,33
Nb,1,531.9490,12
Ho,1,531.9650,33
