element,ion,wavelength_nm,strength_percentile
B,3,196.2960,23
Pt,1,196.3141,84
Fe,3,196.3195,48
Ge,1,196.3375,64
Fe,3,196.3464,59
W,3,196.3722,9
Co,3,196.3743,91
O,2,196.3793,40
Fe,3,196.4063,59
Fe,3,196.4175,81
O,2,196.4269,20
Fe,3,196.4283,81
Sb,1,196.4300,27
S,2,196.4339,4
Fe,3,196.4388,38
Zn,2,196.4538,46
Pt,1,196.4576,36
Os,3,196.4577,60
Be,1,196.4590,92
Ca,3,196.4614,93
B,3,196.4660,15
Co,3,196.4758,60
Fe,3,196.4784,81
Al,2,196.4990,52
Zr,3,196.5077,26
Rh,3,196.5160,32
Al,2,196.5316,32
Fe,3,196.5317,87
Ge,1,196.5384,65
Pt,2,196.5436,54
Ar,3,196.5490,48
Cd,2,196.5540,37
Ba,3,196.5541,17
Co,3,196.5897,17
In,2,196.5980,79
Fe,3,196.6078,81
Zr,3,196.6198,86
Fe,3,196.6209,71
Ge,2,196.6317,37
Re,3,196.6579,23
Co,3,196.6676,67
In,2,196.6709,100
Fe,3,196.6749,94
Ne,3,196.6822,52
Ag,3,196.6890,77
Sr,3,196.6915,82
Re,3,196.7125,99
Yb,3,196.7130,57
Ag,2,196.7325,74
Fe,3,196.7354,71
Os,3,196.7354,64
W,3,196.7356,23
Na,2,196.7634,18
S,2,196.7687,84
Co,3,196.7735,8
Zr,3,196.7750,48
Hg,2,196.7771,6
Rb,3,196.7869,0
Ca,3,196.7936,94
Cu,2,196.8008,4
Na,3,196.8230,14
Os,3,196.8379,7
Fe,3,196.8529,38
Fe,3,196.8624,94
Co,1,196.8690,57
Os,3,196.8715,47
Co,1,196.8930,58
Ne,3,196.8931,13
Ne,3,196.9123,31
Mn,2,196.9240,53
Hg,2,196.9241,2
Pt,2,196.9278,71
Co,3,196.9298,77
Re,3,196.9388,42
Zn,2,196.9404,47
W,3,196.9439,9
Yb,3,196.9470,21
Pt,1,196.9681,85
Yb,3,196.9730,38
Fe,3,196.9731,13
Ne,3,196.9761,31
Mn,2,196.9950,14
Pt,2,197.0001,84
Co,3,197.0057,98
W,3,197.0145,23
Na,3,197.0221,7
Fe,3,197.0226,38
Os,3,197.0389,25
Cu,2,197.0494,81
W,3,197.0494,60
Re,3,197.0563,18
Co,1,197.0710,82
W,3,197.0743,79
S,2,197.0878,99
Ge,1,197.0879,79
W,3,197.0919,46
Na,3,197.0986,1
Re,3,197.1012,38
Co,1,197.1160,68
Mn,2,197.1220,14
Fe,3,197.1324,21
Rb,2,197.1419,59
Sn,1,197.1450,48
Fe,3,197.1456,28
W,3,197.1464,88
Mg,3,197.1514,20
Pt,1,197.1536,92
Os,3,197.1640,66
Re,3,197.1688,54
Co,3,197.1889,87
Cu,3,197.1950,14
Ca,3,197.1992,58
Fe,3,197.2253,59
Ne,3,197.2263,36
Co,3,197.2283,4
Pd,3,197.2290,25
Pb,1,197.2439,6
Fe,3,197.2491,14
Co,1,197.2520,69
Co,3,197.2527,33
Re,3,197.2570,50
Ra,2,197.2600,41
Zr,3,197.2604,26
As,1,197.2620,96
Re,3,197.2639,37
Fe,3,197.2642,60
Na,3,197.2780,32
Ca,3,197.2823,90
W,3,197.2925,71
Os,3,197.2979,94
Co,3,197.3082,40
Ba,3,197.3231,12
Ar,3,197.3300,15
Hg,2,197.3479,40
Fe,3,197.3580,39
W,3,197.3580,21
Co,3,197.3669,70
Co,3,197.3755,74
Ar,3,197.3794,35
Hg,2,197.3794,94
Co,1,197.3850,58
Na,3,197.3860,2
Yb,3,197.3960,2
Cr,2,197.3995,5
Mn,2,197.4100,15
Na,3,197.4150,36
Yb,3,197.4180,2
Ne,3,197.4327,14
Gd,3,197.4340,19
Re,3,197.4655,92
Mg,3,197.4737,49
Ba,3,197.4757,0
Ne,3,197.4757,45
Co,3,197.4882,97
Zr,3,197.4913,78
Gd,3,197.5240,85
Kr,2,197.5251,6
W,3,197.5493,72
Kr,3,197.5560,72
Na,3,197.5617,10
Ag,3,197.5920,86
Ra,2,197.6000,11
Fe,3,197.6137,92
Yb,3,197.6460,37
S,2,197.6535,89
Os,3,197.6593,36
V,2,197.6628,1
Na,3,197.6700,37
W,3,197.6701,96
Ir,2,197.6714,56
Re,3,197.6750,32
Pt,2,197.6790,7
Co,1,197.6970,69
Ca,3,197.7013,84
Cu,2,197.7027,61
Ag,3,197.7030,80
Co,3,197.7033,94
Na,3,197.7161,54
Os,3,197.7234,67
In,2,197.7328,99
Co,3,197.7459,65
Re,3,197.7480,80
Pd,3,197.7530,32
Mg,3,197.7554,76
W,3,197.7606,60
S,2,197.7739,2
Sn,1,197.7820,68
Pb,1,197.7876,2
W,3,197.7928,65
Re,3,197.7943,43
Hg,2,197.8036,15
Os,3,197.8077,17
Au,1,197.8190,31
Ge,3,197.8220,2
Fe,3,197.8417,89
Co,3,197.8421,26
Ca,3,197.8551,84
Fe,3,197.8630,60
Pt,2,197.8696,60
W,3,197.8765,72
Hg,2,197.8804,80
Pt,2,197.8844,92
Ir,2,197.8924,72
Co,3,197.8949,89
Mn,3,197.8950,59
Fe,3,197.9007,60
Nb,3,197.9070,27
Os,3,197.9121,37
B,3,197.9160,85
Ge,2,197.9274,85
Mg,3,197.9327,82
Fe,3,197.9462,5
Sc,2,197.9466,2
Pt,2,197.9514,52
Pt,1,197.9765,91
Fe,3,197.9804,5
Pt,2,197.9888,64
Cu,2,197.9956,95
W,3,198.0022,65
Os,3,198.0106,90
Co,3,198.0114,91
Fe,3,198.0395,74
Os,3,198.0423,87
W,3,198.0590,79
W,3,198.0628,24
Hg,2,198.0702,0
W,3,198.0859,24
Co,1,198.0890,74
Co,3,198.1015,34
Zr,3,198.1174,29
Ca,3,198.1192,87
Co,3,198.1349,87
Cs,3,198.1468,1
Hg,2,198.1512,43
Re,3,198.1588,51
Os,3,198.1591,82
S,2,198.1662,98
Zr,3,198.1685,32
Yb,3,198.1740,0
Ru,3,198.1820,23
Re,3,198.1840,5
Co,3,198.1869,37
Ag,3,198.1870,32
Co,3,198.2042,54
Fe,3,198.2084,96
Ru,3,198.2100,30
Sc,2,198.2109,2
Zn,2,198.2111,49
Cu,2,198.2150,25
Ne,3,198.2237,63
Co,3,198.2338,59
Zr,3,198.2574,26
Mn,3,198.2760,49
Cr,2,198.2779,22
Fe,3,198.2813,89
Re,3,198.2901,98
Zr,3,198.3057,56
Fe,3,198.3141,49
Rb,2,198.3191,76
Fe,3,198.3557,49
Cl,3,198.3610,10
S,2,198.3643,89
Al,2,198.3650,33
Fe,3,198.3678,82
Pt,2,198.3747,91
Yb,3,198.3880,1
Re,3,198.3913,36
Fe,3,198.4038,87
V,2,198.4068,43
Sn,1,198.4171,69
Fe,3,198.4296,89
Re,3,198.4308,52
Co,3,198.4315,68
W,3,198.4331,72
Si,1,198.4430,0
Fe,3,198.4466,22
Fe,3,198.4558,22
Pt,2,198.4570,70
Yb,3,198.4620,38
Cu,2,198.4763,20
W,3,198.4951,80
S,2,198.5025,94
Na,3,198.5030,15
Fe,3,198.5105,82
Be,1,198.5130,52
Nb,3,198.5150,1
Mg,3,198.5173,50
Co,3,198.5276,32
Xe,3,198.5405,24
Na,3,198.5567,80
B,3,198.5600,1
Zn,2,198.5608,35
W,3,198.5732,65
Yb,3,198.5740,1
Ba,2,198.5755,11
W,3,198.6033,100
Sb,1,198.6050,21
Fe,3,198.6260,28
Yb,3,198.6430,58
Co,3,198.6432,6
Re,3,198.6543,62
Co,3,198.6684,47
Zr,3,198.6731,30
Fe,3,198.6832,14
Pt,1,198.6885,5
Cd,2,198.6890,31
Zn,2,198.6988,51
Fe,3,198.7000,49
Ag,3,198.7020,56
Rb,2,198.7086,44
Co,3,198.7195,81
C,2,198.7330,85
Fe,3,198.7509,100
Re,3,198.7562,88
Pt,1,198.7699,27
Rb,2,198.7747,23
C,2,198.7760,91
Pt,1,198.7787,79
Os,3,198.7796,4
Re,3,198.7809,39
Fe,3,198.7821,87
Sc,2,198.7832,3
Hg,2,198.7841,92
Ge,1,198.7850,82
Pt,2,198.7856,58
Co,3,198.7939,69
Ba,3,198.7944,18
Kr,3,198.7950,55
Ir,2,198.7989,97
Pt,2,198.8061,77
C,2,198.8090,94
Re,3,198.8219,82
Bi,3,198.8257,55
Ge,1,198.8268,83
W,3,198.8407,65
Co,3,198.8490,35
C,2,198.8510,84
Al,2,198.8699,12
Co,3,198.8795,50
Cd,3,198.8810,50
Ne,2,198.9051,20
Pt,1,198.9106,86
Re,3,198.9123,58
Fe,3,198.9138,28
Ru,3,198.9220,70
Bi,2,198.9350,67
W,2,198.9394,17
Fe,3,198.9397,29
Os,3,198.9500,53
Ba,3,198.9500,18
Ca,3,198.9512,74
Mn,3,198.9590,51
Co,3,198.9598,97
Au,3,198.9630,92
Co,3,198.9653,83
W,3,198.9778,24
Zr,3,198.9786,86
Co,1,198.9800,59
Yb,3,198.9820,58
Co,2,198.9845,53
Cu,2,198.9855,93
Fe,3,198.9983,87
Ir,2,199.0007,70
Sb,2,199.0170,1
Cu,2,199.0180,80
Na,3,199.0240,38
Co,1,199.0340,70
Sb,2,199.0340,3
As,1,199.0350,68
Al,2,199.0531,86
Ce,3,199.0540,0
Pt,2,199.0574,94
Co,3,199.0588,29
Co,3,199.0817,57
Zr,3,199.0879,57
Na,3,199.0989,39
W,3,199.1035,60
Al,2,199.1050,0
Co,3,199.1104,24
As,1,199.1130,13
Yb,3,199.1140,49
Fe,3,199.1210,39
Co,3,199.1288,15
Pt,2,199.1428,65
Hf,3,199.1440,2
Re,3,199.1464,87
Rb,2,199.1472,51
Pt,1,199.1583,78
Pb,1,199.1604,3
Fe,3,199.1618,98
Na,3,199.1633,21
Sn,3,199.1673,8
W,3,199.1777,97
Si,1,199.1850,33
Sn,1,199.1868,34
Cu,1,199.1876,5
Co,3,199.1935,45
S,1,199.1937,9
Os,3,199.2011,20
Fe,3,199.2026,89
Co,3,199.2159,72
Pt,1,199.2194,17
Pt,2,199.2194,39
Fe,3,199.2206,90
Pb,1,199.2314,4
W,3,199.2321,9
Fe,3,199.2432,49
Co,3,199.2576,6
Fe,3,199.2867,72
Re,3,199.2927,24
K,2,199.3007,71
S,2,199.3231,97
Re,3,199.3258,68
Fe,3,199.3276,88
Sr,3,199.3302,46
Ru,3,199.3320,77
Ir,2,199.3343,90
Zn,2,199.3367,12
Co,3,199.3626,86
C,1,199.3627,100
Ir,2,199.3710,76
K,2,199.3714,88
Mg,3,199.3759,38
Cu,2,199.3839,47
Sc,3,199.3886,92
Mn,2,199.3990,15
Fe,3,199.4081,98
Mg,3,199.4089,20
Ne,2,199.4095,43
